        Date        , GPU Clock [MHz] , Memory Clock [MHz] , GPU Temperature [°C] , Hot Spot [°C] , Fan Speed (%) [%] , Fan Speed (RPM) [RPM] , Memory Used [MB] , GPU Load [%] , Memory Controller Load [%] , Video Engine Load [%] , Bus Interface Load [%] , Board Power Draw [W] , GPU Chip Power Draw [W] , MVDDC Power Draw [W] , MVDDQ Power Draw [W] , PCIe Slot Power [W] , PCIe Slot Voltage [V] , 6-Pin #1 Power [W] , 6-Pin #1 Voltage [V] , 8-Pin #1 Power [W] , 8-Pin #1 Voltage [V] , USB-C Power Draw [W] , Power Consumption (%) [% TDP] , PerfCap Reason [] , GPU Voltage [V] , CPU Temperature [°C] , System Memory Used [MB] ,
2023-06-06 16:32:44 ,        2010.0   ,           1975.3   ,               61.7   ,        73.3   ,              92   ,                2939   ,           5324   ,         59   ,                       13   ,                   0   ,                    4   ,              119.2   ,                  97.7   ,                4.9   ,                5.8   ,              32.6   ,                12.0   ,              0.0   ,               12.0   ,             86.2   ,               12.0   ,                0.0   ,                        62.7   ,               4   ,        1.0370   ,               77.0   ,                 14370   ,
2023-06-06 16:32:45 ,        2010.0   ,           1975.3   ,               61.3   ,        72.8   ,              92   ,                2939   ,           5324   ,         58   ,                       13   ,                   0   ,                    4   ,              119.6   ,                  98.1   ,                4.9   ,                5.8   ,              32.7   ,                12.0   ,              0.0   ,               12.0   ,             86.6   ,               12.0   ,                0.0   ,                        63.0   ,               4   ,        1.0370   ,               79.0   ,                 14374   ,
2023-06-06 16:32:46 ,        2010.0   ,           1975.3   ,               61.6   ,        73.0   ,              92   ,                2948   ,           5324   ,         57   ,                       13   ,                   0   ,                    4   ,              122.6   ,                 101.1   ,                4.8   ,                5.6   ,              33.3   ,                12.0   ,              0.0   ,               12.0   ,             89.0   ,               12.0   ,                0.0   ,                        64.5   ,               4   ,        1.0370   ,               80.0   ,                 14374   ,
2023-06-06 16:32:47 ,        2010.0   ,           1975.3   ,               61.6   ,        73.1   ,              92   ,                2939   ,           5323   ,         57   ,                       13   ,                   0   ,                    4   ,              118.9   ,                  97.5   ,                4.7   ,                5.5   ,              32.6   ,                12.0   ,              0.0   ,               12.0   ,             85.9   ,               12.0   ,                0.0   ,                        62.6   ,               4   ,        1.0370   ,               82.0   ,                 14372   ,
2023-06-06 16:32:48 ,        2010.0   ,           1975.3   ,               61.3   ,        73.0   ,              92   ,                2948   ,           5323   ,         59   ,                       13   ,                   0   ,                    4   ,              121.1   ,                  99.6   ,                4.7   ,                5.5   ,              33.0   ,                12.0   ,              0.0   ,               12.0   ,             87.7   ,               12.0   ,                0.0   ,                        63.7   ,               4   ,        1.0370   ,               77.0   ,                 14370   ,
2023-06-06 16:32:49 ,        2010.0   ,           1975.3   ,               61.6   ,        73.0   ,              92   ,                2939   ,           5323   ,         59   ,                       13   ,                   0   ,                    4   ,              122.2   ,                 100.7   ,                4.8   ,                5.6   ,              33.2   ,                12.0   ,              0.0   ,               12.0   ,             88.6   ,               12.0   ,                0.0   ,                        64.3   ,               4   ,        1.0370   ,               76.0   ,                 14365   ,
2023-06-06 16:32:50 ,        2010.0   ,           1975.3   ,               61.3   ,        73.0   ,              92   ,                2956   ,           5323   ,         60   ,                       14   ,                   0   ,                    4   ,              120.3   ,                  98.8   ,                4.8   ,                5.6   ,              32.8   ,                12.0   ,              0.0   ,               12.0   ,             87.0   ,               12.0   ,                0.0   ,                        63.3   ,               4   ,        1.0370   ,               77.0   ,                 14364   ,
2023-06-06 16:32:51 ,        2010.0   ,           1975.3   ,               61.7   ,        73.3   ,              92   ,                2939   ,           5323   ,         60   ,                       14   ,                   0   ,                    4   ,              121.7   ,                 100.1   ,                4.8   ,                5.6   ,              33.1   ,                12.0   ,              0.0   ,               12.0   ,             88.2   ,               12.0   ,                0.0   ,                        64.0   ,               4   ,        1.0370   ,               78.0   ,                 14362   ,
2023-06-06 16:32:52 ,        2010.0   ,           1975.3   ,               61.1   ,        72.6   ,              92   ,                2931   ,           5324   ,         60   ,                       14   ,                   0   ,                    4   ,              120.8   ,                  99.2   ,                4.9   ,                5.9   ,              32.9   ,                12.0   ,              0.0   ,               12.0   ,             87.5   ,               12.0   ,                0.0   ,                        63.6   ,               4   ,        1.0370   ,               75.0   ,                 14365   ,
2023-06-06 16:32:53 ,        2010.0   ,           1975.3   ,               61.3   ,        72.9   ,              92   ,                2939   ,           5325   ,         59   ,                       14   ,                   0   ,                    4   ,              120.6   ,                  99.1   ,                4.8   ,                5.7   ,              32.9   ,                12.0   ,              0.0   ,               12.0   ,             87.3   ,               12.0   ,                0.0   ,                        63.5   ,               4   ,        1.0370   ,               76.0   ,                 14365   ,
2023-06-06 16:32:54 ,        2010.0   ,           1975.3   ,               61.5   ,        72.9   ,              92   ,                2947   ,           5324   ,         59   ,                       14   ,                   0   ,                    4   ,              119.6   ,                  98.1   ,                4.9   ,                5.8   ,              32.7   ,                12.0   ,              0.0   ,               12.0   ,             86.6   ,               12.0   ,                0.0   ,                        63.0   ,               4   ,        1.0370   ,               77.0   ,                 14364   ,
2023-06-06 16:32:55 ,        2010.0   ,           1975.3   ,               61.3   ,        72.7   ,              92   ,                2939   ,           5324   ,         60   ,                       14   ,                   0   ,                    4   ,              118.1   ,                  96.8   ,                4.9   ,                5.8   ,              32.3   ,                12.0   ,              0.0   ,               12.0   ,             85.5   ,               12.0   ,                0.0   ,                        62.2   ,               4   ,        1.0370   ,               81.0   ,                 14365   ,
2023-06-06 16:32:56 ,        2010.0   ,           1975.3   ,               61.2   ,        72.8   ,              92   ,                2939   ,           5324   ,         59   ,                       13   ,                   0   ,                    4   ,              123.3   ,                 101.8   ,                4.7   ,                5.5   ,              33.4   ,                12.0   ,              0.0   ,               12.0   ,             89.6   ,               12.0   ,                0.0   ,                        64.9   ,               4   ,        1.0370   ,               79.0   ,                 14369   ,
2023-06-06 16:32:57 ,        2010.0   ,           1975.3   ,               60.9   ,        72.4   ,              92   ,                2948   ,           5333   ,         59   ,                       13   ,                   0   ,                    4   ,              122.0   ,                 100.4   ,                4.7   ,                5.5   ,              33.2   ,                12.0   ,              0.0   ,               12.0   ,             88.4   ,               12.0   ,                0.0   ,                        64.2   ,               4   ,        1.0370   ,               75.0   ,                 14366   ,
2023-06-06 16:32:58 ,        2010.0   ,           1975.3   ,               61.3   ,        72.9   ,              92   ,                2939   ,           5332   ,         56   ,                       13   ,                   0   ,                    4   ,              124.5   ,                 102.8   ,                4.8   ,                5.6   ,              33.7   ,                12.0   ,              0.0   ,               12.0   ,             90.4   ,               12.0   ,                0.0   ,                        65.5   ,               4   ,        1.0370   ,               78.0   ,                 14368   ,
